2024-10-03 17:49:02,903 INFO django.utils.autoreload Watching for file changes with StatReloader
2024-10-04 11:16:17,974 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=null 400 [0.03, 127.0.0.1:54696]
2024-10-04 11:16:17,980 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=2 200 [0.04, 127.0.0.1:54658]
2024-10-04 11:16:17,982 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=5 200 [0.04, 127.0.0.1:54669]
2024-10-04 11:16:18,009 INFO django.channels.server HTTP GET /jobs/jobs/ 200 [0.06, 127.0.0.1:54649]
2024-10-04 11:16:18,207 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54635]
2024-10-04 11:16:18,208 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=null 400 [0.01, 127.0.0.1:54676]
2024-10-04 11:16:18,276 INFO django.channels.server HTTP GET /jobs/jobs/ 200 [0.04, 127.0.0.1:54649]
2024-10-04 11:16:18,389 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=null 400 [0.01, 127.0.0.1:54635]
2024-10-04 11:16:18,390 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54676]
2024-10-04 11:16:18,966 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54649]
2024-10-04 11:16:18,968 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=null 400 [0.01, 127.0.0.1:54635]
2024-10-04 11:16:19,702 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54635]
2024-10-04 11:16:19,946 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54635]
2024-10-04 11:16:20,056 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54635]
2024-10-04 11:16:20,177 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54635]
2024-10-04 11:16:20,317 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54635]
2024-10-04 11:16:20,475 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54635]
2024-10-04 11:16:20,641 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54635]
2024-10-04 11:16:20,792 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54635]
2024-10-04 11:16:20,916 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54635]
2024-10-04 11:16:21,040 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54635]
